,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,n_cells,highly_variable,means,dispersions,dispersions_norm
Tnf,False,205,0.03719552337063858,96.62606978275181,226,205,True,0.04781611917065547,0.6065401462677958,0.51555634
Lta,False,139,0.024358130348913758,97.71231073074391,148,139,True,0.033600694558796454,0.6584715252316375,0.6979436
H2-Q10,False,1618,0.5172811059907834,73.37063857801185,3143,1618,True,0.62638088145458,1.795672213554108,2.0719116
Tcf19,False,353,0.10352205398288347,94.19025674786043,629,353,True,0.07448020988573842,0.6243546496089991,0.5781224
Ddr1,False,132,0.035878867676102696,97.8275181040158,218,132,True,0.03716985514171497,0.8443175870528995,1.3506504
Ier3,False,784,0.1793943383805135,87.09677419354838,1090,784,True,0.22517409643000838,1.2045879713833316,2.6159499
Flot1,False,1868,0.47679394338380515,69.25608953258723,2897,1868,True,0.4687968079562155,0.8187671083004405,0.55215937
Tubb5,False,4754,4.815668202764977,21.757735352205398,29260,4754,True,1.752919242347391,1.8201515738274516,0.8221042
Nrm,False,1130,0.28505595786701776,81.4022383146807,1732,1130,True,0.2532531250216593,0.6354853676561698,0.6172144
Crisp3,False,35,0.007570770243581304,99.42396313364056,46,35,True,0.01458553925135494,1.1851317929560918,2.5476182
Ankrd66,False,106,0.01925608953258723,98.25543120473996,117,106,True,0.021089685400912675,0.7182471220384588,0.9078805
Pla2g7,False,2491,1.8196181698485845,59.002633311389076,11056,2491,True,1.1249853060749164,1.8680518219476205,1.356773
Runx2,False,623,0.15717577353522055,89.74654377880185,955,623,True,0.163365762596305,1.0123477934649925,1.9407864
Runx2os1,False,169,0.0304476629361422,97.21856484529296,185,169,True,0.038458537391706835,0.6293535528618277,0.5956789
Zfp318,False,507,0.09907834101382489,91.65569453587888,602,507,True,0.13827297861701493,0.8660401674400046,1.4269419
Tfeb,False,742,0.14302172481895983,87.78801843317973,869,742,True,0.15560168206477934,0.6073147339208037,0.51827675
9830107B12Rik,False,587,0.1260697827518104,90.33903884134298,766,587,True,0.172902466528973,0.8605793720290122,1.4077631
A530064D06Rik,False,891,0.19749835418038184,85.33574720210665,1200,891,True,0.2508303138060931,0.9312514897429612,1.6559695
Trem1,False,1281,0.3459512837393022,78.91705069124424,2102,1281,True,0.4360198461970277,1.293068726193142,1.9299653
Trem3,False,2149,0.9331797235023042,64.63133640552996,5670,2149,True,0.7886275036303655,1.4641003226508267,1.3909504
Treml4,False,679,0.2534562211981567,88.82488479262672,1540,679,True,0.1892083754131246,0.9709583834911738,1.7954234
B430306N03Rik,False,797,0.16145490454246214,86.8828176431863,981,797,True,0.18560025853650283,0.6966749810857253,0.8321173
Apobec2,False,105,0.022547728768926925,98.27188940092167,137,105,True,0.02584711537828041,0.644040564673789,0.6472609
Gm19585,False,973,0.2162606978275181,83.98617511520737,1314,973,True,0.24029573083214562,0.6604978806623907,0.70506036
Adgre4,False,756,0.34430546412113233,87.55760368663594,2092,756,True,0.24426812371651613,1.1971981248772325,2.589996
Ebi3,False,1146,0.27468729427254773,81.13890717577354,1669,1146,True,0.3222710784028208,1.0220474557634047,1.1426715
Lrg1,False,3033,3.7131336405529956,50.082290980908496,22561,3033,True,1.8762110098606686,2.943343272290398,1.135325
Sema6b,False,287,0.05069124423963134,95.27649769585254,308,287,True,0.07532529583286864,0.7161437195093191,0.90049314
Rfx2,False,56,0.010368663594470046,99.07834101382488,63,56,True,0.012583206669839442,0.6347754122627177,0.61472094
Tnfsf14,False,816,0.16129032258064516,86.57011191573403,980,816,True,0.20784103667294665,0.7581443980861959,1.0480031
C3,False,754,0.2164252797893351,87.59052007899935,1315,754,True,0.181486080258672,0.8011452984515144,1.1990258
Adgre1,False,989,0.4575378538512179,83.7228439763002,2780,989,True,0.32120882807648393,1.2163095700824231,1.7069864
Rab31,False,934,0.20046082949308755,84.62804476629361,1218,934,True,0.22759071546340304,0.7532022264626921,1.0306457
Tgif1,False,761,0.15701119157340354,87.47531270572745,954,761,True,0.1681996849403986,0.6460387870052867,0.6542788
Emilin2,False,1788,0.576036866359447,70.57274522712311,3500,1788,True,0.546498591062721,1.097090296603002,1.3606646
Xdh,False,1159,0.2621790651744569,80.92495062541146,1593,1159,True,0.2682779947860229,0.6841245409657195,0.78803915
Rasgrp3,False,171,0.037524687294272545,97.18564845292957,228,171,True,0.05325853299602788,0.9909608891001978,1.8656738
Eml4,False,1008,0.2032587228439763,83.41013824884793,1235,1008,True,0.22603860774356702,0.639858013568912,0.63257146
Epcam,False,170,0.043943383805134954,97.20210664911126,267,170,True,0.045579768039747275,0.8614520428310628,1.410828
Crem,False,767,0.15552995391705068,87.37656352863726,945,767,True,0.19593467402261466,0.9405315773276457,1.6885619
Svil,False,1440,0.3271889400921659,76.30019749835418,1988,1440,True,0.35764278925631765,0.8118923864317137,0.5321889
4930426D05Rik,False,77,0.014647794601711653,98.73271889400922,89,77,True,0.02158039765429889,1.048638771452816,2.0682433
4933408B17Rik,False,477,0.09825543120473997,92.14944042132981,597,477,True,0.1403214998431988,0.9258757990013486,1.6370896
Egr1,False,437,0.10928242264647794,92.80776826859775,664,437,True,0.14198991239903805,1.2468120479100822,2.7642443
Mzb1,False,1124,1.2236668861092823,81.5009874917709,7435,1124,True,0.7849288654169583,4.202145985311014,7.0141735
Cxxc5,False,431,0.09101382488479262,92.90651744568795,553,431,True,0.11339814113461265,0.8185072704843229,1.2600025
Cystm1,False,76,0.015799868334430547,98.74917709019093,96,76,True,0.01668206952841499,0.636430591437655,0.62053406
Cd14,False,1995,0.9280776826859776,67.16589861751152,5639,1995,True,0.8911761383856277,2.3078119714409486,3.1237113
Arap3,False,384,0.06863067807768268,93.68005266622778,417,384,True,0.09558899750995038,0.6924061583469479,0.8171249
Dmxl1,False,616,0.11471362738643845,89.86175115207374,697,616,True,0.13284127124088593,0.6562191902753156,0.69003326
Snx2,False,2175,0.7299210006583279,64.2034233048058,4435,2175,True,0.5681215452331436,0.927558509792275,0.86818916
Ppic,False,235,0.049210006583278475,96.13232389730085,299,235,True,0.05973122875795697,0.6541488344564234,0.682762
Zfp608,False,306,0.055134957208689925,94.96379196840027,335,306,True,0.06820898394490964,0.6144382900073118,0.54329526
Lmnb1,False,2611,1.1000658327847268,57.02764976958525,6684,2611,True,0.9018869573657688,1.4647009903974382,1.392184
Iigp1,False,340,0.08788676761026991,94.40421329822252,534,340,True,0.097909656531418,1.1160245763551297,2.3049078
Smim3,False,815,0.16260697827518103,86.58657011191573,988,815,True,0.20025357612735623,0.7397389604899152,0.9833616
Csf1r,False,1503,0.9180381830151415,75.26333113890718,5578,1503,True,0.5817141817503919,1.5597881089277577,2.7047625
Adrb2,False,1996,0.532587228439763,67.14944042132981,3236,1996,True,0.576942177789698,1.2226686504728512,1.725459
Gm9949,False,129,0.02238314680710994,97.87689269256089,136,129,True,0.03156104724586984,0.6754246021519088,0.75748426
Sec11c,False,3974,1.642198815009875,34.595128373930216,9978,3974,True,1.0259265136040603,1.3494143232406082,0.5214989
Lman1,False,821,0.21445029624753126,86.48782093482555,1303,821,True,0.1800599388028999,1.0146440753481034,1.9488511
Pmaip1,False,688,0.17511520737327188,88.67676102699144,1064,688,True,0.16021626918248075,0.7382219963922418,0.9780339
Tcf4,False,874,0.41063199473337725,85.61553653719552,2495,874,True,0.35911773445398093,1.9319081543148557,3.7857394
Lipg,False,212,0.06369321922317314,96.51086240947993,387,212,True,0.05943437132086844,0.8596808263909821,1.4046074
